fid,Plant_ID,spl_code,Panel,General,Detail,Cut,Panel+Label,x_coord,y_coord,mg
"37",Gasteria rawlinsonii Oberm.,dbgi_000979,DCIM/JPEG_20230323085726820.jpg,DCIM/JPEG_20230323085742011.jpg,DCIM/JPEG_20230323085757798.jpg,DCIM/JPEG_20230323085814715.jpg,DCIM/JPEG_20230323085831440.jpg,2578398.97328039,1182474.97384447,
"38",Gasteria pillansii Kensit,dbgi_000983,DCIM/JPEG_20230323091038997.jpg,DCIM/JPEG_20230323091101398.jpg,DCIM/JPEG_20230323091122572.jpg,DCIM/JPEG_20230323091159842.jpg,DCIM/JPEG_20230323091224573.jpg,2578398.45275678,1182474.30964516,
"39",Gasteria carinata var. verrucosa (Mill.) Van Jaarsv.,dbgi_000949,DCIM/JPEG_20230323091552348.jpg,DCIM/JPEG_20230323091609669.jpg,DCIM/JPEG_20230323091624555.jpg,DCIM/JPEG_20230323091718434.jpg,DCIM/JPEG_20230323091737857.jpg,2578398.42103859,1182474.88634462,
"40",Gasteria nitida (Salm-Dyck) Haw. var. nitida,dbgi_000933,DCIM/JPEG_20230323092044486.jpg,DCIM/JPEG_20230323092101082.jpg,DCIM/JPEG_20230323092113617.jpg,DCIM/JPEG_20230323092156286.jpg,DCIM/JPEG_20230323092219425.jpg,2578397.79184327,1182474.51454739,
"41",Gasteria disticha (L.) Haw.,dbgi_001024,DCIM/JPEG_20230323092517223.jpg,DCIM/JPEG_20230323092529891.jpg,DCIM/JPEG_20230323092546704.jpg,DCIM/JPEG_20230323092604175.jpg,DCIM/JPEG_20230323092627368.jpg,2578397.66314423,1182475.31534143,
"42",Pelargonium 'Lavender Lad',dbgi_001002,DCIM/JPEG_20230323093037483.jpg,DCIM/JPEG_20230323093046231.jpg,DCIM/JPEG_20230323093103753.jpg,DCIM/JPEG_20230323093134794.jpg,DCIM/JPEG_20230323093149613.jpg,2578405.57534091,1182473.48468585,
"43",Pelargonium 'Dimeierii Lila',dbgi_000953,DCIM/JPEG_20230323093523497.jpg,DCIM/JPEG_20230323093536478.jpg,DCIM/JPEG_20230323093606246.jpg,DCIM/JPEG_20230323093702439.jpg,DCIM/JPEG_20230323093735693.jpg,2578400.50299667,1182474.43358778,
"44",Pelargonium laxum (Sweet) G. Don,dbgi_000965,DCIM/JPEG_20230323094043720.jpg,DCIM/JPEG_20230323094055587.jpg,DCIM/JPEG_20230323094112317.jpg,DCIM/JPEG_20230323094133166.jpg,DCIM/JPEG_20230323094200828.jpg,2578396.99656597,1182474.79117028,
"45",Pelargonium bowkeri Harv.,dbgi_000966,DCIM/JPEG_20230323094553610.jpg,DCIM/JPEG_20230323094619447.jpg,DCIM/JPEG_20230323094635542.jpg,DCIM/JPEG_20230323094706950.jpg,DCIM/JPEG_20230323094728016.jpg,2578397.01233942,1182475.46942871,
"47",Pelargonium tongaense Vorster,dbgi_000982,DCIM/JPEG_20230323120626407.jpg,DCIM/JPEG_20230323120639800.jpg,DCIM/JPEG_20230323120709832.jpg,DCIM/JPEG_20230323120805179.jpg,DCIM/JPEG_20230323120823067.jpg,2578396.90733863,1182475.09905637,
"48",Pelargonium klinghardtense R. Knuth,dbgi_000980,DCIM/JPEG_20230323121148562.jpg,DCIM/JPEG_20230323121201498.jpg,DCIM/JPEG_20230323121220375.jpg,DCIM/JPEG_20230323121237796.jpg,DCIM/JPEG_20230323121300831.jpg,2578396.68001156,1182475.11949182,
"49",Pelargonium triste (L.) L'Hr.,dbgi_000937,DCIM/JPEG_20230323121542934.jpg,DCIM/JPEG_20230323121556874.jpg,DCIM/JPEG_20230323121612766.jpg,DCIM/JPEG_20230323121628136.jpg,DCIM/JPEG_20230323121641238.jpg,2578396.64654965,1182475.45411097,
"50",Haworthia viscosa (L.) Haw.,dbgi_000950,DCIM/JPEG_20230323121917921.jpg,DCIM/JPEG_20230323121928437.jpg,DCIM/JPEG_20230323121944991.jpg,DCIM/JPEG_20230323122009614.jpg,DCIM/JPEG_20230323122034813.jpg,2578396.23664119,1182474.79323815,
"51",Haworthia mirabilis (Haw.) Haw.,dbgi_000947,DCIM/JPEG_20230323122458594.jpg,DCIM/JPEG_20230323122507843.jpg,DCIM/JPEG_20230323122518756.jpg,DCIM/JPEG_20230323122548222.jpg,DCIM/JPEG_20230323122604735.jpg,2578396.2716522,1182475.53263209,
"52",Fockea edulis (Thunb.) K.Schum.,dbgi_000955,DCIM/JPEG_20230323122926786.jpg,DCIM/JPEG_20230323122943149.jpg,DCIM/JPEG_20230323122951564.jpg,DCIM/JPEG_20230323123018168.jpg,DCIM/JPEG_20230323123037241.jpg,2578395.80318539,1182475.04743433,
"53",X Astroworthia bicarinata (Haw.) G.D. Rowley,dbgi_000935,DCIM/JPEG_20230323123346651.jpg,DCIM/JPEG_20230323123420043.jpg,DCIM/JPEG_20230323123427762.jpg,DCIM/JPEG_20230323123438820.jpg,DCIM/JPEG_20230323123455408.jpg,2578395.56895199,1182475.02233789,
"54",Haworthia maxima (Haw.) Duval,dbgi_000942,DCIM/JPEG_20230323123729110.jpg,DCIM/JPEG_20230323123741724.jpg,DCIM/JPEG_20230323123750447.jpg,DCIM/JPEG_20230323123803357.jpg,DCIM/JPEG_20230323123816017.jpg,2578395.48529721,1182475.34022608,
"55",Haworthia venosa subsp. tessellata (Haw.) M.B. Bayer,dbgi_000928,DCIM/JPEG_20230323124050903.jpg,DCIM/JPEG_20230323124105038.jpg,DCIM/JPEG_20230323124112419.jpg,DCIM/JPEG_20230323124151953.jpg,DCIM/JPEG_20230323124217940.jpg,2578395.33471859,1182474.99724145,
"56",Pelargonium abrotanifolium (L. f.) Jacq.,dbgi_000951,DCIM/JPEG_20230323124507732.jpg,DCIM/JPEG_20230323124522844.jpg,DCIM/JPEG_20230323124541717.jpg,DCIM/JPEG_20230323124613862.jpg,DCIM/JPEG_20230323124627139.jpg,2578395.24269832,1182475.23147486,
"57",Crassula perforata Thunb.,dbgi_000961,DCIM/JPEG_20230323125009421.jpg,DCIM/JPEG_20230323125020621.jpg,DCIM/JPEG_20230323125042513.jpg,DCIM/JPEG_20230323125130458.jpg,DCIM/JPEG_20230323125146115.jpg,2578395.06702327,1182474.87175927,
"58",Crassula deceptor Schnland et Baker f.,dbgi_000957,DCIM/JPEG_20230323125501027.jpg,DCIM/JPEG_20230323125510242.jpg,DCIM/JPEG_20230323125537255.jpg,DCIM/JPEG_20230323125548672.jpg,DCIM/JPEG_20230323125607269.jpg,2578395.15904354,1182475.70830714,
"59",Crassula mesembrianthemopsis Dinter,dbgi_000936,DCIM/JPEG_20230323125947496.jpg,DCIM/JPEG_20230323125956728.jpg,DCIM/JPEG_20230323130017961.jpg,DCIM/JPEG_20230323130048634.jpg,DCIM/JPEG_20230323130111185.jpg,2578394.71567317,1182475.7250381,
"60",Crassula muscosa L. var. muscosa,dbgi_000934,DCIM/Succulent_greenhouse/Crassula muscosa L. var. muscosa_dbgi_000934_Panel.jpg,DCIM/Succulent_greenhouse/Crassula muscosa L. var. muscosa_dbgi_000934_General.jpg,DCIM/Succulent_greenhouse/Crassula muscosa L. var. muscosa_dbgi_000934_Detail.jpg,DCIM/Succulent_greenhouse/Crassula muscosa L. var. muscosa_dbgi_000934_Cut.jpg,DCIM/Succulent_greenhouse/Crassula muscosa L. var. muscosa_dbgi_000934_Panel+Label.jpg,2578394.46084783,1182475.86144862,
"61",Canarina canariensis (L.) Vatke,dbgi_000956,DCIM/Succulent_greenhouse/Canarina canariensis (L.) Vatke_dbgi_000956_Panel.jpg,DCIM/Succulent_greenhouse/Canarina canariensis (L.) Vatke_dbgi_000956_General.jpg,DCIM/Succulent_greenhouse/Canarina canariensis (L.) Vatke_dbgi_000956_Detail.jpg,DCIM/Succulent_greenhouse/Canarina canariensis (L.) Vatke_dbgi_000956_Cut.jpg,DCIM/Succulent_greenhouse/Canarina canariensis (L.) Vatke_dbgi_000956_Panel+Label.jpg,2578393.33924168,1182475.11106819,
"62",Veltheimia capensis (L.) DC.,dbgi_000943,DCIM/Succulent_greenhouse/Veltheimia capensis (L.) DC._dbgi_000943_Panel.jpg,DCIM/Succulent_greenhouse/Veltheimia capensis (L.) DC._dbgi_000943_General.jpg,DCIM/Succulent_greenhouse/Veltheimia capensis (L.) DC._dbgi_000943_Detail.jpg,DCIM/Succulent_greenhouse/Veltheimia capensis (L.) DC._dbgi_000943_Cut.jpg,DCIM/Succulent_greenhouse/Veltheimia capensis (L.) DC._dbgi_000943_Panel+Label.jpg,2578393.59925168,1182476.16881531,
"63",Cotyledon orbiculata L. var. orbiculata,dbgi_000952,DCIM/Succulent_greenhouse/Cotyledon orbiculata L._dbgi_000952_Panel.jpg,DCIM/Succulent_greenhouse/Cotyledon orbiculata L._dbgi_000952_General.jpg,DCIM/Succulent_greenhouse/Cotyledon orbiculata L._dbgi_000952_Detail.jpg,DCIM/Succulent_greenhouse/Cotyledon orbiculata L._dbgi_000952_Cut.jpg,DCIM/Succulent_greenhouse/Cotyledon orbiculata L._dbgi_000952_Panel+Label.jpg,2578393.24351033,1182475.65583004,
"64",Lavandula canariensis Mill.,dbgi_000906,DCIM/Succulent_greenhouse/Lavandula canariensis Mill._dbgi_000906_Panel.jpg,DCIM/Succulent_greenhouse/Lavandula canariensis Mill._dbgi_000906_General.jpg,DCIM/Succulent_greenhouse/Lavandula canariensis Mill._dbgi_000906_Detail.jpg,DCIM/Succulent_greenhouse/Lavandula canariensis Mill._dbgi_000906_Cut.jpg,DCIM/Succulent_greenhouse/Lavandula canariensis Mill._dbgi_000906_Panel+Label.jpg,2578392.81113509,1182476.27560075,
"65",Aeonium canariense var. palmense (Christ) H.Y. Liu,dbgi_000930,DCIM/Succulent_greenhouse/Aeonium canariense var. palmense (Christ) H.Y. Liu_dbgi_000930_Panel.jpg,DCIM/Succulent_greenhouse/Aeonium canariense var. palmense (Christ) H.Y. Liu_dbgi_000930_General.jpg,DCIM/Succulent_greenhouse/Aeonium canariense var. palmense (Christ) H.Y. Liu_dbgi_000930_Detail.jpg,DCIM/Succulent_greenhouse/Aeonium canariense var. palmense (Christ) H.Y. Liu_dbgi_000930_Cut.jpg,DCIM/Succulent_greenhouse/Aeonium canariense var. palmense (Christ) H.Y. Liu_dbgi_000930_Panel+Label.jpg,2578392.68591643,1182475.6428976,
"66",Pelargonium myrrhifolium (L.) L' Hr.,dbgi_000562,DCIM/Succulent_greenhouse/Pelargonium myrrhifolium (L.) L' Hr._dbgi_000562_Panel.jpg,DCIM/Succulent_greenhouse/Pelargonium myrrhifolium (L.) L' Hr._dbgi_000562_General.jpg,DCIM/Succulent_greenhouse/Pelargonium myrrhifolium (L.) L' Hr._dbgi_000562_Detail.jpg,DCIM/Succulent_greenhouse/Pelargonium myrrhifolium (L.) L' Hr._dbgi_000562_Cut.jpg,DCIM/Succulent_greenhouse/Pelargonium myrrhifolium (L.) L' Hr._dbgi_000562_Panel+Label.jpg,2578391.49680364,1182476.47146647,
"67",Aeonium mascaense D. Bramwell,dbgi_000879,DCIM/Succulent_greenhouse/Aeonium mascaense D. Bramwell_dbgi_000879_Panel.jpg,DCIM/Succulent_greenhouse/Aeonium mascaense D. Bramwell_dbgi_000879_General.jpg,DCIM/Succulent_greenhouse/Aeonium mascaense D. Bramwell_dbgi_000879_Detail.jpg,DCIM/Succulent_greenhouse/Aeonium mascaense D. Bramwell_dbgi_000879_Cut.jpg,DCIM/Succulent_greenhouse/Aeonium mascaense D. Bramwell_dbgi_000879_Panel+Label.jpg,2578391.07257482,1182475.67743582,
"68",Aeonium arboreum (L.) Webb et Berthel. var. arboreum,dbgi_000962,DCIM/Succulent_greenhouse/Aeonium arboreum (L.) Webb et Berthel. var. arboreum_dbgi_000962_Panel.jpg,DCIM/Succulent_greenhouse/Aeonium arboreum (L.) Webb et Berthel. var. arboreum_dbgi_000962_General.jpg,DCIM/Succulent_greenhouse/Aeonium arboreum (L.) Webb et Berthel. var. arboreum_dbgi_000962_Detail.jpg,DCIM/Succulent_greenhouse/Aeonium arboreum (L.) Webb et Berthel. var. arboreum_dbgi_000962_Cut.jpg,DCIM/Succulent_greenhouse/Aeonium arboreum (L.) Webb et Berthel. var. arboreum_dbgi_000962_Panel+Label.jpg,2578391.03144659,1182476.51593065,
"69",Aichryson laxum (Haw.) Bramwell,dbgi_000939,DCIM/Succulent_greenhouse/Aichryson laxum (Haw.) Bramwell_dbgi_000939_Panel.jpg,DCIM/Succulent_greenhouse/Aichryson laxum (Haw.) Bramwell_dbgi_000939_General.jpg,DCIM/Succulent_greenhouse/Aichryson laxum (Haw.) Bramwell_dbgi_000939_Detail.jpg,DCIM/Succulent_greenhouse/Aichryson laxum (Haw.) Bramwell_dbgi_000939_Cut.jpg,DCIM/Succulent_greenhouse/Aichryson laxum (Haw.) Bramwell_dbgi_000939_Panel+Label.jpg,2578390.63776808,1182476.73170876,
"70",Aeonium arboreum var. rubrolineatum (Svent.) H.Y. Liu,dbgi_000506,DCIM/Succulent_greenhouse/Aeonium arboreum var. rubrolineatum (Svent.) H.Y. Liu_dbgi_000506_Panel.jpg,DCIM/Succulent_greenhouse/Aeonium arboreum var. rubrolineatum (Svent.) H.Y. Liu_dbgi_000506_General.jpg,DCIM/Succulent_greenhouse/Aeonium arboreum var. rubrolineatum (Svent.) H.Y. Liu_dbgi_000506_Detail.jpg,DCIM/Succulent_greenhouse/Aeonium arboreum var. rubrolineatum (Svent.) H.Y. Liu_dbgi_000506_Cut.jpg,DCIM/Succulent_greenhouse/Aeonium arboreum var. rubrolineatum (Svent.) H.Y. Liu_dbgi_000506_Panel+Label.jpg,2578390.43235391,1182475.99234555,
"71",Aeonium haworthii Webb et Berthel.,dbgi_000901,DCIM/Succulent_greenhouse/Aeonium haworthii Webb et Berthel._dbgi_000901_Panel.jpg,DCIM/Succulent_greenhouse/Aeonium haworthii Webb et Berthel._dbgi_000901_General.jpg,DCIM/Succulent_greenhouse/Aeonium haworthii Webb et Berthel._dbgi_000901_Detail.jpg,DCIM/Succulent_greenhouse/Aeonium haworthii Webb et Berthel._dbgi_000901_Cut.jpg,DCIM/Succulent_greenhouse/Aeonium haworthii Webb et Berthel._dbgi_000901_Panel+Label.jpg,2578389.72629897,1182476.05239886,
"72",Pelargonium peltatum (L.) L'Hr.,dbgi_000946,DCIM/Succulent_greenhouse/Pelargonium peltatum (L.) L'Hr._dbgi_000946_Panel.jpg,DCIM/Succulent_greenhouse/Pelargonium peltatum (L.) L'Hr._dbgi_000946_General.jpg,DCIM/Succulent_greenhouse/Pelargonium peltatum (L.) L'Hr._dbgi_000946_Detail.jpg,DCIM/Succulent_greenhouse/Pelargonium peltatum (L.) L'Hr._dbgi_000946_Cut.jpg,DCIM/Succulent_greenhouse/Pelargonium peltatum (L.) L'Hr._dbgi_000946_Panel+Label.jpg,2578390.43448057,1182476.28351993,
"73",Selenicereus grandiflorus Br. et R.,dbgi_000870,DCIM/Succulent_greenhouse/Selenicereus grandiflorus Br. et R._dbgi_000870_Panel.jpg,DCIM/Succulent_greenhouse/Selenicereus grandiflorus Br. et R._dbgi_000870_General.jpg,DCIM/Succulent_greenhouse/Selenicereus grandiflorus Br. et R._dbgi_000870_Detail.jpg,DCIM/Succulent_greenhouse/Selenicereus grandiflorus Br. et R._dbgi_000870_Cut.jpg,DCIM/Succulent_greenhouse/Selenicereus grandiflorus Br. et R._dbgi_000870_Panel+Label.jpg,2578389.37201416,1182477.34815608,
"74",Selenicereus coniflorus Britt. et Rose,dbgi_000128,DCIM/Succulent_greenhouse/Selenicereus coniflorus Britt. et Rose_dbgi_000128_Panel.jpg,DCIM/Succulent_greenhouse/Selenicereus coniflorus Britt. et Rose_dbgi_000128_General.jpg,DCIM/Succulent_greenhouse/Selenicereus coniflorus Britt. et Rose_dbgi_000128_Detail.jpg,DCIM/Succulent_greenhouse/Selenicereus coniflorus Britt. et Rose_dbgi_000128_Cut.jpg,DCIM/Succulent_greenhouse/Selenicereus coniflorus Britt. et Rose_dbgi_000128_Panel+Label.jpg,2578406.34624888,1182474.2195054,
"75",Beaucarnea recurvata Lem.,dbgi_001019,DCIM/Succulent_greenhouse/Beaucarnea recurvata Lem._dbgi_001019_Panel.jpg,DCIM/Succulent_greenhouse/Beaucarnea recurvata Lem._dbgi_001019_General.jpg,DCIM/Succulent_greenhouse/Beaucarnea recurvata Lem._dbgi_001019_Detail.jpg,DCIM/Succulent_greenhouse/Beaucarnea recurvata Lem._dbgi_001019_Cut.jpg,DCIM/Succulent_greenhouse/Beaucarnea recurvata Lem._dbgi_001019_Panel+Label.jpg,2578405.14728623,1182475.38411254,
"76",Aloe ciliaris Haw.,dbgi_001021,DCIM/Succulent_greenhouse/Aloe ciliaris Haw._dbgi_001021_Panel.jpg,DCIM/Succulent_greenhouse/Aloe ciliaris Haw._dbgi_001021_General.jpg,DCIM/Succulent_greenhouse/Aloe ciliaris Haw._dbgi_001021_Detail.jpg,DCIM/Succulent_greenhouse/Aloe ciliaris Haw._dbgi_001021_Cut.jpg,DCIM/Succulent_greenhouse/Aloe ciliaris Haw._dbgi_001021_Panel+Label.jpg,2578402.50738425,1182475.86798353,
