"fid","Plant_ID","spl_code","Panel","General","Detail","Cut","Panel.Label","x_coord","y_coord","mg"
16,"Sedum nussbaumerianum Bitter","dbgi_000992","DCIM/JPEG_20230223114002735.jpg","DCIM/JPEG_20230223114013190.jpg","DCIM/JPEG_20230223114027628.jpg","DCIM/JPEG_20230223114038999.jpg","DCIM/JPEG_20230223114127012.jpg",7.15580262235975,46.7930713423957,NA
21,"Pachyphytum oviferum J.A. Purpus","dbgi_000998","DCIM/JPEG_20230223120302602.jpg","DCIM/JPEG_20230223120310612.jpg","DCIM/JPEG_20230223120330830.jpg","DCIM/JPEG_20230223120349375.jpg","DCIM/JPEG_20230223120405293.jpg",7.15577701294081,46.793071278731,NA
4,"Schinus molle L. var. molle","dbgi_001009","DCIM/JPEG_20230207132347602.jpg","DCIM/JPEG_20230207132600112.jpg","DCIM/JPEG_20230207132506713.jpg","DCIM/JPEG_20230207132527084.jpg","DCIM/JPEG_20230207132400314.jpg",7.15509469774434,46.7931390055369,NA
15,"Sedum nussbaumerianum Bitter","dbgi_001013","DCIM/JPEG_20230223113609300.jpg","DCIM/JPEG_20230223113649585.jpg","DCIM/JPEG_20230223113706529.jpg","DCIM/JPEG_20230223113726595.jpg","DCIM/JPEG_20230223113750360.jpg",7.15580281796473,46.7930713428819,NA
7,"Mangifera indica L.","dbgi_001015","DCIM/JPEG_20230207130149589.jpg","DCIM/JPEG_20230207130208139.jpg","DCIM/JPEG_20230207130306128.jpg","DCIM/JPEG_20230207130344662.jpg","DCIM/JPEG_20230207130240725.jpg",7.15597784077214,46.7926911739236,NA
19,"Pachyphytum compactum Rose","dbgi_001017","DCIM/JPEG_20230223115437378.jpg","DCIM/JPEG_20230223115513233.jpg","DCIM/JPEG_20230223115523587.jpg","DCIM/JPEG_20230223115538892.jpg","DCIM/JPEG_20230223115556955.jpg",7.15578052706423,46.7930712874674,NA
27,"Murraya koenigii (L.) Spreng.","dbgi_001083","DCIM/JPEG_20230223112430472.jpg","DCIM/JPEG_20230223112457572.jpg","DCIM/JPEG_20230223112516571.jpg","DCIM/JPEG_20230223112533093.jpg","DCIM/JPEG_20230223112441159.jpg",7.15590792239569,46.7926513505942,NA
23,"Citrus limon (L.) Osbeck","dbgi_001084","DCIM/JPEG_20230223105158850.jpg","DCIM/JPEG_20230223105249857.jpg","DCIM/Stephanie_sampleCitrus limon (L.) Osbeckdbgi_001084DCIM/JPEG_20230223105329421.jpg.jpg","DCIM/JPEG_20230223105442356.jpg","DCIM/JPEG_20230223105313707.jpg",7.15506431443352,46.7931564285182,NA
29,"Khaya senegalensis (Desr.) A. Juss","dbgi_001085","DCIM/JPEG_20230223113412284.jpg","DCIM/JPEG_20230223113425000.jpg","DCIM/JPEG_20230223113503256.jpg","DCIM/JPEG_20230223113527478.jpg","DCIM/JPEG_20230223113444260.jpg",7.15589815814338,46.7927071445558,NA
26,"Citrus microcarpa Bunge","dbgi_001086","DCIM/JPEG_20230223111403052.jpg","DCIM/JPEG_20230223111150520.jpg","DCIM/JPEG_20230223111224945.jpg","DCIM/JPEG_20230223111243444.jpg","DCIM/JPEG_20230223111433769.jpg",7.15509211937706,46.7931342280371,NA
24,"Citrus reticulata Blanco","dbgi_001087","DCIM/JPEG_20230223110006951.jpg","DCIM/JPEG_20230223110142941.jpg","DCIM/JPEG_20230223110111892.jpg","DCIM/Stephanie_sampleCitrus reticulata Blancodbgi_001087DCIM/JPEG_20230223110049688.jpg.jpg","DCIM/JPEG_20230223110023124.jpg",7.15503881877489,46.7931535108432,NA
30,"Commiphora abyssinica Engl.","dbgi_001088","DCIM/JPEG_20230223114030899.jpg","DCIM/JPEG_20230223114107647.jpg","DCIM/JPEG_20230223114131827.jpg","DCIM/JPEG_20230223114226606.jpg","DCIM/JPEG_20230223114042527.jpg",7.15561461227517,46.7931201891866,NA
25,"Citrus sinensis Osbeck","dbgi_001089","DCIM/JPEG_20230223110726139.jpg","DCIM/JPEG_20230223110700032.jpg","DCIM/JPEG_20230223110810471.jpg","DCIM/JPEG_20230223110843936.jpg","DCIM/JPEG_20230223110744214.jpg",7.15503653752943,46.7931475039566,NA
28,"Quassia amara L.","dbgi_001090","DCIM/JPEG_20230223112953282.jpg","DCIM/JPEG_20230223112847616.jpg","DCIM/JPEG_20230223113039735.jpg","DCIM/JPEG_20230223113111990.jpg","DCIM/JPEG_20230223113006467.jpg",7.15587594560106,46.7927072076133,NA
